,choice,dValue,absDValue,sumValue,zConf,zRT,zAbsDValue,zSumValue,rValue,lValue,Part,choValue,unchoValue,zChoValue,zUnchoValue
0,0,-0.3481553119113956,0.3481553119113956,2.088931871468374,-1.5112742114367819,5.383156243450376,-1.205915767862106,1.5666504141087076,0.8703882797784892,1.2185435916898848,0,1.2185435916898848,0.8703882797784892,2.026287101093622,0.4113063728303116
1,1,-1.044465935734187,1.044465935734187,-1.3926212476455826,0.7619516219221603,2.2271959414697506,-0.301483928384294,-1.0438152275852448,-1.2185435916898848,-0.17407765595569785,0,-1.2185435916898848,-0.17407765595569785,-0.8105148404374487,-0.8226127456606226
2,0,1.3926212476455828,1.3926212476455828,-1.7407765595569784,1.519693566375141,-0.4028816424025948,0.15073199135461207,-1.3048617917546401,-0.17407765595569785,-1.5666989036012806,0,-1.5666989036012806,-0.17407765595569785,-1.2157722606561734,-0.8226127456606226
4,1,-0.3481553119113957,0.3481553119113957,-1.3926212476455828,-1.5112742114367819,3.2995451709455996,-1.2059157678621057,-1.0438152275852448,-0.8703882797784892,-0.5222329678670935,0,-0.8703882797784892,-0.5222329678670935,-0.4052574202187244,-1.233919118490934
6,0,0.6963106238227914,0.6963106238227914,-2.43708718337977,0.7619516219221603,-0.5529441351961192,-0.7536998481231998,-1.826954920093431,-0.8703882797784892,-1.5666989036012806,0,-1.5666989036012806,-0.8703882797784892,-1.2157722606561734,-1.6452254913212454
7,0,2.088931871468374,2.088931871468374,-1.0444659357341872,1.519693566375141,-0.20700360977387933,1.0551638308324236,-0.7827686634158497,0.5222329678670935,-1.5666989036012806,0,-1.5666989036012806,0.5222329678670935,-1.2157722606561734,1.3116037287619623e-16
9,0,-1.7407765595569784,1.7407765595569784,-0.6963106238227913,0.7619516219221603,-0.2886747894800895,0.6029479110935179,-0.5217220992464543,-1.2185435916898848,0.5222329678670935,0,0.5222329678670935,-1.2185435916898848,1.2157722606561732,-2.0565318641515566
12,0,2.088931871468374,2.088931871468374,1.0444659357341872,0.7619516219221603,-0.5217364486417136,1.0551638308324236,0.7835107216005223,1.5666989036012806,-0.5222329678670935,0,-0.5222329678670935,1.5666989036012806,0.0,1.2339191184909344
13,1,-1.7407765595569784,1.7407765595569784,1.3926212476455828,0.38308064969566996,-0.4931847354110873,0.6029479110935179,1.0445572857699175,-0.17407765595569785,1.5666989036012806,0,-0.17407765595569785,1.5666989036012806,0.40525742021872435,1.2339191184909344
15,1,-1.7407765595569784,1.7407765595569784,0.0,0.38308064969566996,-0.47924087546124655,0.6029479110935179,0.0003710290923362189,-0.8703882797784892,0.8703882797784892,0,-0.8703882797784892,0.8703882797784892,-0.4052574202187244,0.4113063728303116
16,1,-1.044465935734187,1.044465935734187,-0.6963106238227914,0.38308064969566996,-0.3324983493224462,-0.301483928384294,-0.5217220992464544,-0.8703882797784892,0.17407765595569785,0,-0.8703882797784892,0.17407765595569785,-0.4052574202187244,-0.41130637283031124
18,0,-0.34815531191139565,0.34815531191139565,0.6963106238227914,-1.5112742114367819,0.4098461946738381,-1.205915767862106,0.5224641574311267,0.17407765595569785,0.5222329678670935,0,0.5222329678670935,0.17407765595569785,1.2157722606561732,-0.41130637283031124
19,1,-1.044465935734187,1.044465935734187,0.6963106238227914,-1.890145183663272,0.3414548815865239,-0.301483928384294,0.5224641574311267,-0.17407765595569785,0.8703882797784892,0,-0.17407765595569785,0.8703882797784892,0.40525742021872435,0.4113063728303116
26,0,2.7852424952911656,2.7852424952911656,0.3481553119113958,0.38308064969566996,-0.5157605086632104,1.9595956703102357,0.2614175932617316,1.5666989036012806,-1.2185435916898848,0,-1.2185435916898848,1.5666989036012806,-0.8105148404374487,1.2339191184909344
27,0,0.6963106238227914,0.6963106238227914,-1.044465935734187,0.38308064969566996,2.2736754746358865,-0.7536998481231998,-0.7827686634158495,-0.17407765595569785,-0.8703882797784892,0,-0.8703882797784892,-0.17407765595569785,-0.4052574202187244,-0.8226127456606226
28,0,1.3926212476455828,1.3926212476455828,0.3481553119113957,0.004209677469179577,-0.31457052938693664,0.15073199135461207,0.26141759326173153,0.8703882797784892,-0.5222329678670935,0,-0.5222329678670935,0.8703882797784892,0.0,0.4113063728303116
29,0,1.3926212476455828,1.3926212476455828,-0.3481553119113957,0.38308064969566996,-0.013117557137998292,0.15073199135461207,-0.26067553507705904,0.5222329678670935,-0.8703882797784892,0,-0.8703882797784892,0.5222329678670935,-0.4052574202187244,1.3116037287619623e-16
31,0,1.3926212476455828,1.3926212476455828,1.7407765595569784,0.004209677469179577,-0.09213276352042926,0.15073199135461207,1.3056038499393128,1.5666989036012806,0.17407765595569785,0,0.17407765595569785,1.5666989036012806,0.8105148404374488,1.2339191184909344
33,1,-3.1333978072025612,3.1333978072025612,0.0,0.7619516219221603,-0.2534831429400152,2.4118115900491417,0.0003710290923362189,-1.5666989036012806,1.5666989036012806,0,-1.5666989036012806,1.5666989036012806,-1.2157722606561734,1.2339191184909344
35,1,-1.044465935734187,1.044465935734187,1.3926212476455826,0.7619516219221603,-0.6299673615857158,-0.301483928384294,1.0445572857699172,0.17407765595569785,1.2185435916898848,0,0.17407765595569785,1.2185435916898848,0.8105148404374488,0.8226127456606228
38,0,-0.3481553119113957,0.3481553119113957,1.3926212476455828,-1.5112742114367819,0.3487588082269167,-1.2059157678621057,1.0445572857699175,0.5222329678670935,0.8703882797784892,0,0.8703882797784892,0.5222329678670935,1.6210296808748976,1.3116037287619623e-16
40,1,-2.43708718337977,2.43708718337977,-0.6963106238227914,0.7619516219221603,-0.5655600084840703,1.50737975057133,-0.5217220992464544,-1.5666989036012806,0.8703882797784892,0,-1.5666989036012806,0.8703882797784892,-1.2157722606561734,0.4113063728303116
41,0,-0.34815531191139565,0.34815531191139565,-0.6963106238227914,-1.5112742114367819,0.25181578190897613,-1.205915767862106,-0.5217220992464544,-0.5222329678670935,-0.17407765595569785,0,-0.17407765595569785,-0.5222329678670935,0.40525742021872435,-1.233919118490934
42,0,1.3926212476455826,1.3926212476455826,1.044465935734187,0.004209677469179577,-0.41151355570487713,0.1507319913546118,0.783510721600522,1.2185435916898848,-0.17407765595569785,0,-0.17407765595569785,1.2185435916898848,0.40525742021872435,0.8226127456606228
43,0,1.3926212476455826,1.3926212476455826,-1.044465935734187,0.38308064969566996,-0.45666510220912343,0.1507319913546118,-0.7827686634158495,0.17407765595569785,-1.2185435916898848,0,-1.2185435916898848,0.17407765595569785,-0.8105148404374487,-0.41130637283031124
44,0,-1.0444659357341872,1.0444659357341872,2.088931871468374,-1.890145183663272,-0.24219525631395364,-0.3014839283842937,1.5666504141087076,0.5222329678670935,1.5666989036012806,0,1.5666989036012806,0.5222329678670935,2.4315445213123463,1.3116037287619623e-16
45,0,-0.3481553119113956,0.3481553119113956,-2.088931871468374,0.7619516219221603,-0.05295715699468618,-1.205915767862106,-1.5659083559240354,-1.2185435916898848,-0.8703882797784892,0,-0.8703882797784892,-1.2185435916898848,-0.4052574202187244,-2.0565318641515566
49,1,-2.4370871833797696,2.4370871833797696,0.0,-1.5112742114367819,2.1588046283824363,1.5073797505713296,0.0003710290923362189,-1.2185435916898848,1.2185435916898848,0,-1.2185435916898848,1.2185435916898848,-0.8105148404374487,0.8226127456606228
50,0,0.6963106238227913,0.6963106238227913,1.7407765595569784,-0.7535322669838012,-0.5210724553107688,-0.7536998481231999,1.3056038499393128,1.2185435916898848,0.5222329678670935,0,0.5222329678670935,1.2185435916898848,1.2157722606561732,0.8226127456606228
51,1,-1.7407765595569784,1.7407765595569784,0.6963106238227913,0.004209677469179577,0.7411788668152923,0.6029479110935179,0.5224641574311267,-0.5222329678670935,1.2185435916898848,0,-0.5222329678670935,1.2185435916898848,0.0,0.8226127456606228
52,1,-1.044465935734187,1.044465935734187,0.0,-2.2690161558897626,-0.13197236337711715,-0.301483928384294,0.0003710290923362189,-0.5222329678670935,0.5222329678670935,0,-0.5222329678670935,0.5222329678670935,0.0,1.3116037287619623e-16
56,0,2.088931871468374,2.088931871468374,0.3481553119113956,0.38308064969566996,-0.08217286355625729,1.0551638308324236,0.2614175932617314,1.2185435916898848,-0.8703882797784892,0,-0.8703882797784892,1.2185435916898848,-0.4052574202187244,0.8226127456606228
58,0,2.088931871468374,2.088931871468374,-0.3481553119113956,1.1408225941486507,-0.2654350228970216,1.0551638308324236,-0.260675535077059,0.8703882797784892,-1.2185435916898848,0,-1.2185435916898848,0.8703882797784892,-0.8105148404374487,0.4113063728303116
59,1,-0.3481553119113958,0.3481553119113958,2.7852424952911656,0.7619516219221603,-0.30859458940843343,-1.2059157678621055,2.0887435424474985,1.2185435916898848,1.5666989036012806,0,1.2185435916898848,1.5666989036012806,2.026287101093622,1.2339191184909344
61,0,-0.3481553119113958,0.3481553119113958,-2.7852424952911656,-1.5112742114367819,1.7152570833113112,-1.2059157678621055,-2.088001484262826,-1.5666989036012806,-1.2185435916898848,0,-1.2185435916898848,-1.5666989036012806,-0.8105148404374487,-2.4678382369818683
63,1,-2.43708718337977,2.43708718337977,0.6963106238227914,0.38308064969566996,-0.3975696957550364,1.50737975057133,0.5224641574311267,-0.8703882797784892,1.5666989036012806,0,-0.8703882797784892,1.5666989036012806,-0.4052574202187244,1.2339191184909344
66,0,0.6963106238227914,0.6963106238227914,2.43708718337977,0.38308064969566996,-0.556928095181788,-0.7536998481231998,1.8276969782781032,1.5666989036012806,0.8703882797784892,0,0.8703882797784892,1.5666989036012806,1.6210296808748976,1.2339191184909344
67,1,-1.7407765595569784,1.7407765595569784,-1.3926212476455828,0.7619516219221603,-0.5290403752821065,0.6029479110935179,-1.0438152275852448,-1.5666989036012806,0.17407765595569785,0,-1.5666989036012806,0.17407765595569785,-1.2157722606561734,-0.41130637283031124
73,1,-1.0444659357341872,1.0444659357341872,-2.088931871468374,0.7619516219221603,-0.5609120551674567,-0.3014839283842937,-1.5659083559240354,-1.5666989036012806,-0.5222329678670935,0,-1.5666989036012806,-0.5222329678670935,-1.2157722606561734,-1.233919118490934
75,0,2.7852424952911656,2.7852424952911656,-0.3481553119113958,0.38308064969566996,-0.5781758817720215,1.9595956703102357,-0.26067553507705915,1.2185435916898848,-1.5666989036012806,0,-1.5666989036012806,1.2185435916898848,-1.2157722606561734,0.8226127456606228
79,0,-0.3481553119113957,0.3481553119113957,0.0,0.004209677469179577,-0.4918567487491977,-1.2059157678621057,0.0003710290923362189,-0.17407765595569785,0.17407765595569785,0,0.17407765595569785,-0.17407765595569785,0.8105148404374488,-0.8226127456606226
