,LVal_bin,RVal_bin,conf
0,3,0,0.6294295048977239
1,1,2,0.6656022298622677
2,4,4,0.6472551940440542
3,0,5,0.8557444095060821
4,2,1,0.8663447700429843
5,4,5,0.7275487882991654
6,2,4,0.49432705317488257
7,4,2,0.37688924999744766
8,2,0,0.7146897898900496
9,3,0,0.5766877297501395
10,2,5,0.9101929672765169
11,5,1,0.9241941546529115
12,0,4,0.7881638488454683
13,2,2,0.8779540207348626
14,1,1,0.7061276070241962
15,3,2,0.8101950681034562
16,0,1,0.38990224032779025
17,3,1,0.7091885972588975
18,0,3,0.6460947388724376
19,3,4,0.7968742924609085
20,1,4,0.743877455691321
21,3,5,0.705551412493164
22,3,1,0.6991000146244996
23,1,4,0.7899889568677567
24,3,3,0.7180495802096994
25,4,3,0.4063292774152147
26,4,0,0.775306285709589
27,1,0,0.1618200774857581
28,0,0,0.7209385403651849
29,1,3,0.8520007870942683
30,1,2,0.7734999830496276
31,4,1,0.7400774855200379
32,4,0,0.9133330772515086
33,1,5,0.8606148826060749
34,1,0,0.8051078733005579
35,4,1,0.6679187558971221
36,5,2,0.6715374035974808
37,5,0,0.9065764992146021
38,5,4,0.6444545789572088
39,0,4,0.6058947013250152
40,0,1,0.4945450182512213
41,4,2,0.18024361559572244
42,0,2,0.7234417858861647
43,0,2,0.7129954145483702
44,3,4,0.9453426875482798
45,3,2,0.20309929798364676
46,3,3,0.4649092386822461
47,3,1,0.582414715511407
48,2,2,0.5950439440176899
49,1,2,0.39251942641371845
50,3,1,0.6699242134210915
51,3,5,0.551341936709833
52,5,0,0.8956010674213305
53,0,4,0.9071012998938118
54,4,1,0.7299884030797373
55,3,4,0.4361529001046433
56,3,4,0.5562365275976409
57,2,0,0.5480238038365428
58,1,0,0.4299410619040339
59,1,1,0.229750961335391
60,4,5,0.4338549512733525
61,3,0,0.8544846610204637
62,5,4,0.8065718378611717
63,4,3,0.7471849310090731
64,2,1,0.46115467061691695
65,0,1,0.7695210462921955
66,1,5,0.7749364666628588
67,0,1,0.7319403816466756
68,4,4,0.5703666649309093
69,0,5,0.6188200301755942
70,3,0,0.8886260254616937
71,1,3,0.427433637947626
72,1,4,0.7945457372713827
73,4,0,0.829102884390196
74,4,1,0.9544349788619191
75,2,4,0.8896836941228452
76,0,0,0.7171879219726097
77,5,2,0.3323708387149874
78,0,2,0.7851535924317583
79,1,0,0.24374211860350276
80,0,2,0.5712864565858837
81,5,1,0.8075720186714884
82,4,2,0.322330878040035
83,2,5,0.4732549447485619
84,1,2,0.8942477168371807
85,4,2,0.815639907370591
86,1,4,0.8870249705628297
87,0,3,0.7408239874684482
88,0,4,0.913385547525475
89,4,0,0.6301787441656029
90,3,0,0.7256891574565201
91,0,5,0.6758065796039484
92,3,5,0.39149159329833816
93,3,1,0.2366566613742597
94,3,0,0.6485028170216084
95,2,2,0.29564955468111564
96,4,2,0.5377991547146019
97,2,5,0.6277515944562521
98,1,2,0.4954682502018558
99,3,4,0.8498052921840801
100,0,2,0.35684310450560053
101,2,4,0.26723328634544796
102,3,3,0.5828015183430569
103,3,2,0.7161738756055669
104,0,0,0.7730895820920733
105,1,4,0.6531140094799808
106,2,0,0.18838413415082886
107,1,0,0.3840698709822391
108,4,0,0.18585976871423077
109,5,2,0.64286695427663
