,LVal_bin,RVal_bin,confReport
0,3,0,0.7891458417096829
1,1,2,0.5492575140492849
2,4,4,0.4858256959857844
3,0,5,0.8801309002802145
4,2,1,0.6373249605355867
5,4,5,0.6037266694178548
6,2,4,0.4289674695308036
7,4,2,0.4554278518383784
8,2,0,0.9103677946103372
9,3,0,0.852770718818749
10,2,5,0.7879812373388673
11,5,1,0.7258113890354807
12,0,4,0.7560295970166061
13,2,2,0.6232266583929926
14,1,1,0.6480043877406102
15,3,2,0.6782732616822899
16,0,1,0.686519485078451
17,3,1,0.6528058235649498
18,0,3,0.8725807978486981
19,3,4,0.5506517229160217
20,1,4,0.737129249017497
21,3,5,0.605947670631925
22,3,1,0.6628153700210895
23,1,4,0.8431468451565236
24,3,3,0.8957981277780107
25,4,3,0.4271579741187036
26,4,0,0.8610874450603265
27,1,0,0.6297846412751005
28,0,0,0.9435411083885635
29,1,3,0.6361075886093361
30,1,2,0.7044604188280867
31,4,1,0.5869061985105695
32,4,0,0.82625598540425
33,1,5,0.7141203550055725
34,1,0,0.9970830111042356
35,4,1,0.7883910281044382
36,5,2,0.7963836159766259
37,5,0,0.7594020897759004
38,5,4,0.5227186504239221
39,0,4,0.7415214284951804
40,0,1,0.753969915359346
41,4,2,0.5413628791438075
42,0,2,0.6862104460344115
43,0,2,0.8412247168989474
44,3,4,0.5635201152891959
45,3,2,0.2847559323966446
46,3,3,0.44550914754614773
47,3,1,0.8017682060402543
48,2,2,0.6068467674081884
49,1,2,0.29314956785958457
50,3,1,0.6481447223116883
51,3,5,0.4785671393318563
52,5,0,0.8120587668073667
53,0,4,0.8828974113154198
54,4,1,0.736763052104995
55,3,4,0.5796152424679883
56,3,4,0.49653763936870915
57,2,0,0.7071480600427809
58,1,0,0.48294680012099495
59,1,1,0.5260162133293226
60,4,5,0.19744259842413406
61,3,0,0.9074989177271839
62,5,4,0.6931055205322754
63,4,3,0.5548778557190761
64,2,1,0.8482285657601778
65,0,1,0.7962211257933033
66,1,5,0.6695797964854253
67,0,1,0.7345906341286145
68,4,4,0.3696403598127976
69,0,5,0.8947722131270478
70,3,0,0.7366822153923874
71,1,3,0.5059279223324346
72,1,4,0.8516164239593071
73,4,0,0.624796542465049
74,4,1,0.8563777419554474
75,2,4,0.6477597794616323
76,0,0,0.8512095209806219
77,5,2,0.5793381500825641
78,0,2,0.8415769835469211
79,1,0,0.2819842893205543
80,0,2,0.6129877870162137
81,5,1,0.6183334648456353
82,4,2,0.5131735893410224
83,2,5,0.47461981616259996
84,1,2,0.8653065653114679
85,4,2,0.6834269036121274
86,1,4,0.8189027332926521
87,0,3,0.8671281933154943
88,0,4,0.9577578556120292
89,4,0,0.9442248332658364
90,3,0,0.7405500607503008
91,0,5,0.7860291014342187
92,3,5,0.5699893535742425
93,3,1,0.3651026533910108
94,3,0,0.5797482560137498
95,2,2,0.37533419048788136
96,4,2,0.5011493147000468
97,2,5,0.5026863934957415
98,1,2,0.6452241968240228
99,3,4,0.6469774617555873
100,0,2,0.47856732001897817
101,2,4,0.2643752119742564
102,3,3,0.6500603668465499
103,3,2,0.7511264855851902
104,0,0,0.7313155928472076
105,1,4,0.699209148852993
106,2,0,0.5159972359605687
107,1,0,0.5462011887601254
108,4,0,0.395918527528105
109,5,2,0.5253510317851792
110,5,0,0.6397755572403737
111,0,4,0.9144441071886034
112,0,1,0.8664392017501378
113,2,1,0.5895974987533469
114,3,1,0.25872232042475074
115,1,5,0.5871987222063715
116,4,5,0.3573261436064759
117,1,2,0.7532273194594906
118,1,3,0.543661713431625
119,0,4,0.9359558418552296
120,4,3,0.5160101141544509
121,4,1,0.516610260421565
122,4,4,0.4167881159714126
123,1,0,0.783335873515504
124,3,4,0.3092093129474537
125,4,0,0.6226513537245628
126,0,2,0.8137680378462869
127,4,2,0.5668513207207856
128,1,4,0.8574933373632547
129,5,1,0.34209131720562397
130,0,1,0.3638947736537084
131,5,4,0.5982976739383115
132,1,1,0.5536413235095912
133,4,1,0.8156399962864881
134,0,3,0.9666202714283887
135,5,4,0.6346988685484535
136,2,0,0.6881171324117407
137,1,5,0.6257773640908653
138,4,1,0.7815427808641802
139,3,1,0.794605344761881
140,4,2,0.6640905322215951
141,3,4,0.5910697395023893
142,0,1,0.5575517313114492
143,1,1,0.6660659631302982
144,4,2,0.611980327502483
