,LVal_bin,RVal_bin,conf
68,5,4,0.6094823572479855
69,0,2,0.8343959303269962
70,1,1,0.7370139507047606
71,4,2,0.8435329169813107
72,0,0,0.8034313638798378
73,5,2,0.9215477315425269
74,2,5,0.6596153862760508
75,4,1,0.8615059331387194
76,1,3,0.3480001240066746
77,0,4,0.9811983732320801
78,4,4,0.5058506297577019
79,5,1,0.7512313127614166
80,2,4,0.8167272111848389
81,5,0,0.8168413242586404
82,1,0,0.37434170663412975
83,4,0,0.8783707893752688
84,4,5,0.5387780329095577
85,3,1,0.8647124692983876
86,1,2,0.4658876911026392
87,3,1,0.3522287004248234
88,0,5,0.8740538868830654
89,1,2,0.726890499747503
90,4,0,0.9036412358821616
91,1,0,0.39456591506583166
92,0,3,0.7182191060231035
93,3,1,0.557246836242701
94,3,3,0.5926230218872438
95,1,4,0.9372055042165957
96,0,5,0.9080208052220085
97,0,1,0.8239447159941725
98,1,2,0.8140462106911055
99,3,0,0.5812326131289707
100,5,1,0.5322497808480036
101,4,3,0.6675341499729868
102,4,1,0.3999645889265668
103,0,4,0.6822308522057028
104,1,5,0.7704330010232538
105,3,0,0.29391484166910703
106,4,1,0.46139441080640675
107,1,4,0.43265166778006076
108,1,2,0.7607155978243971
109,5,4,0.40114166001985413
110,0,1,0.3474006131960191
111,2,5,0.8418779238560155
112,5,2,0.6448282365888393
113,4,5,0.7709564098148859
114,3,2,0.5931464498347003
115,4,4,0.5651079488528936
116,1,1,0.37496185538392346
117,4,0,0.8460589530270635
118,4,2,0.3623457829250469
119,0,4,0.8891598242259754
120,3,4,0.4458486334564985
121,3,1,0.7957876146472652
122,2,4,0.8919848880953644
123,3,4,0.8912436234691418
124,0,2,0.6815313751868488
125,3,5,0.7818680655188319
126,4,2,0.7051706334992464
127,1,0,0.4093041598244405
128,0,0,0.8530984074542811
129,5,0,0.7503449120281792
130,2,1,0.7088263442977072
131,2,0,0.40903171289353324
132,2,2,0.5188106484878603
133,0,2,0.7094812202272885
134,1,3,0.7020432561525494
135,3,0,0.8470172766143208
136,0,2,0.5757129595354783
137,4,2,0.35669753545602695
138,3,3,0.6540669153715797
139,3,4,0.4438342796964194
140,5,4,0.8306968939127995
141,2,4,0.8026171623467884
142,4,2,0.6960063634458064
143,2,5,0.012076836002037213
144,3,0,0.7287869459475469
145,4,5,0.9815470437190984
146,4,4,0.8081296628933308
147,0,3,0.5097816191950387
148,0,4,0.7171521932319644
149,1,4,0.49739464968734903
150,1,1,0.33768460626153907
151,3,1,0.7731654248740968
152,3,4,0.7737508536677721
153,5,1,0.7034902471575933
154,0,0,0.3645982776327187
155,1,3,0.6425418057576333
156,1,0,0.6376605878029852
157,1,0,0.4526050758983175
158,2,1,0.37535224395100286
159,5,2,0.8210008229139109
160,3,5,0.9134416124052046
161,1,2,0.8524786534269353
162,2,2,0.651263012993661
163,3,2,0.7039648333138055
164,5,0,0.8449707589732525
165,4,3,0.8794953413655662
166,0,1,0.43676317618774746
167,0,1,0.6680596330461569
168,0,4,0.7521519907776902
169,3,1,0.5245619032822848
170,0,5,0.9202194407642109
171,4,0,0.8409745099180622
172,1,5,0.2275236642122313
173,1,2,0.5539293898868001
174,4,1,0.5711835016654032
175,2,0,0.9486814524072408
176,1,4,0.5216179724630315
177,0,2,0.7192277533043314
178,4,0,0.5421158635131315
179,4,1,0.6011881376947638
180,1,1,0.42687100854363597
181,0,1,0.6996992603614236
182,3,4,0.5372473562865451
183,5,2,0.8443998762159685
184,1,2,0.4048423228884442
185,1,5,0.7220491313695993
186,0,2,0.4813631347503908
187,4,0,0.29161401703206263
188,4,1,0.3414104063007828
189,2,1,0.2868747835427146
190,1,0,0.3056513962852623
191,0,4,0.7654772014221249
192,4,5,0.8781146728650843
193,2,2,0.8402603488265594
194,2,4,0.5998215642912156
195,0,4,0.802992978210426
196,0,2,0.4492935808525991
197,5,1,0.8997097322365732
198,1,4,0.7696609527895959
199,2,0,0.474721295173018
200,1,0,0.8513914983200412
201,4,2,0.8930629285892884
202,3,3,0.7030170075616758
203,3,0,0.5580106626712841
204,3,4,0.7169845102730013
205,5,0,0.6703376171993407
206,5,4,0.602430547668162
207,4,1,0.5339859591986522
208,0,1,0.24279277808358182
209,0,3,0.6437279982982592
210,0,5,0.855610034993575
211,4,2,0.9305935125628999
212,3,2,0.7861815802406837
213,3,0,0.28335764173513106
214,1,4,0.37306873460257184
215,0,0,0.23285268122866973
216,1,3,0.4002017867070525
217,4,3,0.24046355776217604
218,3,1,0.7742840006142873
219,1,2,0.7984495539490248
220,2,5,0.8620942448892639
221,4,4,0.7325494355491093
222,3,5,0.4502776340511781
223,3,1,0.7277904698780316
224,4,0,0.7836635899888894
225,1,2,0.8510593559923365
226,4,0,0.43613546418067567
227,1,0,0.45463981106450524
228,1,0,0.2645267401113886
229,0,3,0.7611371400829896
230,1,5,0.3029856196651713
231,0,1,0.38504288334768844
232,0,2,0.7991148984287318
233,1,2,0.5440961671399267
234,3,2,0.8616111164392073
235,5,2,0.9817386954637944
236,4,1,0.5448919016986141
237,3,0,0.4752138547250153
238,5,0,0.7740097184193955
239,5,4,0.5817349896888198
240,4,0,0.787979714847542
241,1,4,0.35522950854258467
242,1,1,0.611062598342825
243,3,5,0.47471742156559155
244,2,1,0.34121385227641765
245,4,1,0.769930813310807
246,4,4,0.3964945109875364
247,0,2,0.6994053556835963
248,4,2,0.9111800634739985
249,2,0,0.5259176754948044
250,3,4,0.7328056755859047
251,5,1,0.9387461118718021
252,0,4,0.821624226567044
253,3,0,0.6841098779922433
254,3,4,0.6624159977370627
255,1,4,0.41575343478784105
256,1,3,0.2734515573469496
257,2,5,0.4474297318817741
258,4,5,0.5893774401527906
259,2,4,0.7984735706555648
260,0,4,0.6336078655929082
261,4,3,0.6285147904126624
262,4,2,0.3757665887390598
263,0,1,0.2541000594156771
264,2,2,0.32400117436841136
265,0,5,0.34259245946179184
266,3,3,1.0267362775181466
267,0,0,0.499224816019001
268,3,1,0.9158223303673515
269,3,1,0.7802586552727517
270,1,0,0.4432177452430169
271,1,2,0.23665360546932193
272,4,3,0.3984381958041166
273,0,2,0.7778854299036171
274,4,2,0.44011568352811836
275,4,5,0.3490542907416101
276,2,4,0.19269352382145766
277,1,1,0.5356882865593436
278,3,1,0.5763234927796702
279,4,4,0.4928522395379136
280,2,0,0.4305938800428216
281,0,1,0.42881455542724745
282,2,1,0.16879881892256082
283,3,0,0.8471935130138631
284,5,0,0.7148429483053685
285,1,0,0.6841104091881204
286,3,3,0.5943612894376723
287,1,4,0.5956244289098015
288,4,1,0.5868294308426801
289,3,0,0.9500986564113145
290,0,4,0.7941884527051954
291,1,2,0.46330710318241686
292,3,2,0.7843824648423033
293,0,0,0.8457360420865488
294,3,4,0.7987853797383224
295,0,5,0.8360331194099373
296,3,1,0.5638384260023548
297,4,0,0.8095603571395772
298,2,2,0.4544424598107366
299,1,5,0.7773604396715589
300,0,1,0.7257110440173284
301,5,1,0.7536917639163407
302,4,1,0.6662469803303479
303,5,4,0.5848019484593227
304,0,2,0.9257541928640142
305,0,4,0.7247593691338529
306,1,4,0.8083874129730436
307,1,3,0.12038740485768082
308,4,2,0.738534430197072
309,4,0,0.9676174037264487
310,3,4,0.8429159348096944
311,0,3,0.5065664835548916
312,2,5,0.8129020181823992
313,3,5,0.4590842726542876
314,5,2,0.5276424475559601
315,4,5,0.40703509805322247
316,5,0,0.7889110253080995
317,1,3,0.4728773833115203
318,0,1,0.714385806635134
319,1,5,0.5232663680011952
320,3,5,0.7689708344329312
321,3,1,0.6992302520972848
322,0,0,0.3371996231032913
323,1,0,0.43258556818094684
324,4,1,0.824358651786727
325,0,5,0.4524646746454904
