,LVal_bin,RVal_bin,confReport
0,1,1,0.11052644320818034
1,5,0,0.7809807992905119
2,2,5,0.5172577849705037
3,3,4,0.5940073080932116
4,4,0,0.806278607305287
5,1,0,0.4004368677345194
6,2,2,0.6540826902173089
7,3,5,0.8538263289095989
8,3,1,0.8486112468342016
9,0,4,0.875125706976816
10,2,4,0.32666207773401174
11,0,3,0.8590086441223607
12,1,2,0.8039431317828372
13,1,4,0.9086032533086488
14,4,2,0.7374143866693124
15,4,3,0.5628500768415751
16,4,1,0.6949573017888648
17,4,5,0.647134316643656
18,0,2,0.6404895604183403
19,1,4,0.7632348071856797
20,1,5,0.8172536044802527
21,4,1,0.723772550365811
22,3,3,0.8038734992468547
23,2,1,0.3882264604652406
24,3,4,0.6879927150619614
25,0,1,0.5779033226016718
26,3,2,0.5805590697674922
27,5,2,0.7579454769298484
28,3,0,0.5030858818774834
29,3,1,0.5862898858542508
30,5,1,0.8218803216064484
31,1,2,0.7876181891553948
32,0,2,0.6327331593116349
33,0,1,0.7142102128887691
34,2,0,0.6766669193924945
35,4,2,0.7705815890987195
36,4,0,0.6891827027639634
37,0,0,0.6120354004118307
38,0,5,0.7404100656254169
39,1,0,0.5840230744759185
40,5,4,0.8612036404924356
41,3,0,0.8820182531574992
42,4,4,0.7130784583878642
43,0,4,0.780964568316395
44,1,3,0.6841903067187652
45,3,0,0.8133446686216198
46,3,3,0.6322891482795687
47,1,0,0.6529965957523396
48,0,1,0.6083550585040912
49,3,4,0.339735816077855
50,3,5,0.7981644017705424
51,1,4,0.6913955748657821
52,3,2,0.8572177341951492
53,0,1,0.7725442183214223
54,0,2,0.7831713274203728
55,4,3,0.8409894256497449
56,1,5,0.7035859173144811
57,0,4,0.8614108581012282
58,4,2,0.7235923825207915
59,3,4,0.6137954078534249
60,4,0,0.8822792111758505
61,2,2,0.4939327636991597
62,2,1,0.8329504582577156
63,3,0,0.3898261524466366
64,0,3,0.6401233921180228
65,1,4,0.7271134261036141
66,2,0,0.8680972940352372
67,4,1,0.7239469732466159
68,5,4,0.6908539816294503
69,0,2,0.7305702724305423
70,1,1,0.8493097687159304
71,4,2,0.7165634792274855
72,0,0,0.7644970019040004
73,5,2,0.9016083190433462
74,2,5,0.8771512632374258
75,4,1,0.9921245715815711
76,1,3,0.47120612596645806
77,0,4,0.7578254269236088
78,4,4,0.45489729592047823
79,5,1,0.7538241724229158
