,LVal_bin,RVal_bin,conf
144,3,0,0.790179893005785
145,4,5,0.5663016999944297
146,4,4,0.6189790615882671
147,0,3,0.596081952287909
148,0,4,0.6078184966147848
149,1,4,0.64998519265319
150,1,1,0.3772827483069662
151,3,1,0.9185752495375074
152,3,4,0.7472506191093653
153,5,1,0.6356381643375674
154,0,0,0.5786401871282355
155,1,3,0.5702856063518049
156,1,0,0.7277757685099383
157,1,0,0.5954364034002738
158,2,1,0.4364499798260036
159,5,2,0.6662883277934685
160,3,5,0.6014245258933585
161,1,2,0.8930911679352553
162,2,2,0.6408469098318056
163,3,2,0.5910077780791672
164,5,0,0.7203210523728101
165,4,3,0.6531642531770199
166,0,1,0.6477483749712977
167,0,1,0.6857007389902682
168,0,4,0.8155673485708614
169,3,1,0.39321848591588465
170,0,5,0.804785191768291
171,4,0,0.8797721956147809
172,1,5,0.42977253313454034
173,1,2,0.7867070010801265
174,4,1,0.6270390592737141
175,2,0,0.988334268471817
176,1,4,0.8495616061137389
177,0,2,0.5982441078500897
178,4,0,0.5898116339249788
179,4,1,0.6463171834982497
180,1,1,0.4641329011942451
181,0,1,0.897136835741063
182,3,4,0.5763129111810522
183,5,2,0.6006884663783726
184,1,2,0.6175899746613589
185,1,5,0.5742625894342668
186,0,2,0.5201469726595138
187,4,0,0.27332446108959446
188,4,1,0.5097637501920822
189,2,1,0.5241416073633444
190,1,0,0.4913689467317725
191,0,4,0.8995827252808883
192,4,5,0.5275259016488412
193,2,2,0.6419689005746755
194,2,4,0.5755269706019311
195,0,4,0.9152353573514108
196,0,2,0.8707777558805141
197,5,1,0.6968459498246866
198,1,4,0.8199909327736534
199,2,0,0.5793609884921738
200,1,0,1.0000248729789754
201,4,2,0.6689207947084806
202,3,3,0.5894982208188504
203,3,0,0.6323312396685454
204,3,4,0.5617349046832736
205,5,0,0.6463661533258895
206,5,4,0.5174043891700165
207,4,1,0.6133346169016036
208,0,1,0.5691251024254849
209,0,3,0.7337099016009829
210,0,5,0.9464326324469615
211,4,2,0.7154218918583061
212,3,2,0.6811245533148326
213,3,0,0.541058869058162
214,1,4,0.5100350070450619
215,0,0,0.3616607059832547
216,1,3,0.629054153972611
217,4,3,0.4507884578159626
218,3,1,0.7628391857289814
219,1,2,0.7445378850529408
220,2,5,0.8603740055656943
221,4,4,0.6525869226876206
222,3,5,0.5762274970402755
223,3,1,0.8656252951876071
224,4,0,0.7425352792522757
225,1,2,0.6255612915375646
226,4,0,0.40241217868987467
227,1,0,0.738814586743418
228,1,0,0.26093143545955483
229,0,3,0.9001623040439893
230,1,5,0.35202016198960395
231,0,1,0.62582968422822
232,0,2,0.8720045689022787
233,1,2,0.5330757358801517
234,3,2,0.5940779937899408
235,5,2,0.6378676540560602
236,4,1,0.7988552604770939
237,3,0,0.7887420901547284
238,5,0,0.7438289479525731
239,5,4,0.1848171237132124
240,4,0,0.6741397224808856
241,1,4,0.3617585666552763
242,1,1,0.587379258487422
243,3,5,0.268704132886867
244,2,1,0.350142347879956
245,4,1,0.6919927751064959
246,4,4,0.5173132959460512
247,0,2,0.7086448450985853
248,4,2,0.8667729068772951
249,2,0,0.7801086580030321
250,3,4,0.6754008878647404
251,5,1,0.6457195024507406
252,0,4,0.8667392392530823
253,3,0,0.933222134103369
254,3,4,0.5843481423735487
255,1,4,0.33131510578356177
256,1,3,0.6464724916754532
257,2,5,0.5543710141590467
258,4,5,0.522833388504543
259,2,4,0.6503714241781486
260,0,4,0.944342191653866
261,4,3,0.6229731036616716
262,4,2,0.6503818363959195
263,0,1,0.5113593828731117
264,2,2,0.43451946420768695
265,0,5,0.42658585821577755
266,3,3,0.8764840191269153
267,0,0,0.7963973729417494
268,3,1,0.9080781434671914
269,3,1,0.5865070539070069
270,1,0,0.8385346701783639
271,1,2,0.2610670235153055
272,4,3,0.4316133571558631
273,0,2,0.6121194896184078
274,4,2,0.3746408331985276
275,4,5,0.3333012527805907
276,2,4,0.2652986511710324
277,1,1,0.5160349544972567
278,3,1,0.9008334720057857
279,4,4,0.49356927385499205
280,2,0,0.7130278288116372
281,0,1,0.6695303671787715
282,2,1,0.417680605824316
283,3,0,0.701270425604856
284,5,0,0.5452960711411104
285,1,0,0.7731491572345041
286,3,3,0.6448287649556538
287,1,4,0.7718255044108638
288,4,1,0.8986060249514621
289,3,0,0.8157910881481184
290,0,4,0.8715279640779117
291,1,2,0.6030871216875703
292,3,2,0.502986469116629
293,0,0,0.9477971597370389
294,3,4,0.43790962692592533
295,0,5,0.9342479830487456
296,3,1,0.5735777163928519
297,4,0,0.8270314699457518
298,2,2,0.4986824750989994
299,1,5,0.5969392598759097
300,0,1,0.8550113269246308
301,5,1,0.6362976325046815
302,4,1,0.7643329547698909
303,5,4,0.522257909803154
304,0,2,0.9263735795148069
305,0,4,0.6799326571152372
306,1,4,0.6125370184367794
307,1,3,0.2215335573816974
308,4,2,0.6207414493752837
309,4,0,0.8505267022730133
310,3,4,0.52623402061835
311,0,3,0.5924164526671665
312,2,5,0.6749730886360706
313,3,5,0.3939978158505519
314,5,2,0.543589406809934
315,4,5,0.44555589356598757
316,5,0,0.9042340358520142
317,1,3,0.5231012203959226
318,0,1,0.9357977215085204
319,1,5,0.4487292753003324
320,3,5,0.5255234858647954
321,3,1,0.692005463051218
322,0,0,0.5578853652544022
323,1,0,0.539106899412639
324,4,1,0.850081316894317
325,0,5,0.6256332644179666
326,1,2,0.7972342681738932
327,1,2,0.671066600697015
328,0,4,0.6916338819293755
329,5,2,0.5668321049838472
330,3,4,0.7740298269012821
