,pVal,betasH,betasL,betasH_error,betasL_error
0,0.02,-0.03940444475378921,0.01094360512731472,0.013251196722975209,0.014796359260541063
1,0.04,-0.03852113567205284,0.011782655037265555,0.01365958064110975,0.014709279094294803
2,0.0,-0.04038136434469208,0.012375107731234718,0.013672156218356647,0.01459587039974484
3,0.0,-0.04017531031662548,0.012470463575792864,0.013702183793437506,0.014772278376398218
4,0.02,-0.03869590542638125,0.013246647081118869,0.012702853318552641,0.014548886311605553
5,0.0,-0.04179764712833045,0.011458174003278533,0.012450742296230676,0.014161992917768635
6,0.0,-0.040068954982736285,0.012207367460615012,0.012034723057656514,0.013181351320900734
7,0.02,-0.039041662888418545,0.014926816596128083,0.01124561200185963,0.013523529893011496
8,0.0,-0.04123289921687104,0.013502853495984313,0.012384804164258707,0.013669481499912293
9,0.0,-0.04441983785388414,0.014506233862996641,0.012783158848590595,0.013967360251530898
10,0.0,-0.04601619632172978,0.013402516456030342,0.013012458771767736,0.014369846938989496
11,0.0,-0.05051735775660031,0.011083160816521484,0.014898773219402625,0.013914289849171833
12,0.0,-0.049721068782284106,0.010355888669920954,0.014718502704413513,0.013848172788239832
13,0.0,-0.04616923017968501,0.011126667157221104,0.013440756730828821,0.014066603852349483
14,0.02,-0.04381498894244492,0.011788688899793757,0.01253296584390476,0.014468706907794792
15,0.0,-0.047092813835531364,0.009202431080553231,0.01380855254964039,0.014969085351497036
16,0.0,-0.04664901489227376,0.010908455025054926,0.013161446940234705,0.015023557493507384
17,0.0,-0.04627831843457103,0.00880266806466094,0.013211546304254453,0.015356149250722114
18,0.0,-0.04158872452496144,0.009143628261188221,0.012244609501498839,0.015312138317164888
19,0.0,-0.041399729864651263,0.012062256405946508,0.012204879650761176,0.015935298322918626
20,0.0,-0.04618765317142896,0.012261228470918532,0.013220232891076336,0.017961748143727845
21,0.02,-0.04266506622475573,0.012938451874069303,0.012134516286064323,0.017773816819387788
22,0.02,-0.03921918980553845,0.011830579429082104,0.012701096151985352,0.017414409923133527
23,0.04,-0.039802932897642695,0.013479661640687788,0.012773766624997593,0.01772075144258967
24,0.0,-0.04185392140260295,0.014187743349588128,0.01269720745229482,0.01834866955210697
25,0.0,-0.04165776427969227,0.014500045621855468,0.012397858827882186,0.01811692330343814
26,0.0,-0.04124336492398244,0.01368684513754613,0.012731318658297236,0.018279404899441534
27,0.02,-0.03768354597890922,0.011164424507982981,0.01220982750638239,0.01865710023431044
28,0.04,-0.04036151037592407,0.010194734411008656,0.012765282556696317,0.01891213634243193
29,0.02,-0.04456177837400993,0.009237575344723198,0.013285499051792762,0.018555855555948908
30,0.0,-0.04388616635998879,0.009996077535191614,0.013296688775046939,0.018900004496489303
31,0.0,-0.04518039259383855,0.013517774041456845,0.013715076890382668,0.018493315422028592
32,0.0,-0.044994111852672006,0.014921801074328183,0.013540284276241307,0.01837055394907972
33,0.0,-0.045813169711116944,0.014376711055653298,0.014270519859458587,0.01842353665364671
34,0.0,-0.04423920499211359,0.014471528873315778,0.013001483595155539,0.01890005821356886
35,0.02,-0.04167626432572763,0.014485088510281486,0.012499779813990614,0.019192603407813365
36,0.0,-0.04013607389075685,0.013007994665881813,0.0123543070518506,0.019409619898310554
37,0.0,-0.04330803714983169,0.007989822872672189,0.012424261456011906,0.02000894899503457
38,0.0,-0.0434582122878466,0.008335488706836121,0.012240671696895435,0.02014892491630496
39,0.02,-0.03982284620521408,0.005500920943276389,0.012739305601839298,0.020230065817074913
40,0.0,-0.03397098183030821,0.005632269352072835,0.012681718162563454,0.020254271359153805
41,0.04,-0.034731637085592355,0.0059119049653926035,0.0125658087259953,0.020353143405530613
42,0.04,-0.03461137623557379,0.009031916884550234,0.012683894790972655,0.02015482315923919
43,0.02,-0.035829058667721174,0.007094062564556927,0.012917457213448962,0.020790764806159115
44,0.02,-0.03677660839580977,0.00725631207632099,0.012945792695151798,0.021084596479877492
45,0.0,-0.03747424353299748,0.009990142302662557,0.013510007245488974,0.02063143043479948
46,0.02,-0.039745730084236236,0.017897773526912228,0.01374577911409597,0.020262863766286946
47,0.02,-0.03965658141824618,0.01659974687076501,0.013511766976070705,0.020595425155624045
48,0.0,-0.03910566307191927,0.015282679797983652,0.013698951157457026,0.020979831064099952
49,0.02,-0.042600463222865974,0.011188818625534277,0.013870321160044432,0.021284258000767203
50,0.0,-0.048980650199705926,0.010921148444414877,0.013963515167430161,0.02129330093548085
51,0.0,-0.04705449585080922,0.013934419651359938,0.014229295516952484,0.021459567015880653
52,0.0,-0.04698133381068874,0.01489399658243383,0.013781308676448306,0.021524226706761282
53,0.02,-0.04544096883006932,0.015720453779198656,0.013812164913160611,0.022170762690019028
54,0.02,-0.04741162573524915,0.011354209800425612,0.013958963093596578,0.022094313101127472
55,0.02,-0.04987347186067492,0.012045597302367194,0.014064576353759376,0.02058425162404122
56,0.0,-0.04895173308646742,0.016381940365006335,0.014188070358905036,0.021077788582361794
57,0.02,-0.049897047504927225,0.017670897490144586,0.013271625999504192,0.021377496087747107
58,0.0,-0.04857107542417982,0.01847674058405471,0.013419902070185561,0.021859162923348437
59,0.0,-0.04469739824870657,0.022330147805412516,0.013642186835355738,0.022466023181454145
60,0.0,-0.03910508943391346,0.019722209120621097,0.01473297737682057,0.020562359353528296
61,0.0,-0.04041367569404503,0.021273826095989386,0.015290263497689268,0.02151939657242234
62,0.0,-0.040618917765867166,0.021032401339778177,0.015535043506561314,0.021752210472089764
63,0.02,-0.04309899401669716,0.017748055215954035,0.01623189793721979,0.02195411185516689
