,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigmaSamp,0.5,0.0,0.5,0.5,0.0,0.0,56.16,197.88,1.05
beta,-3.99,4.24,-11.9,-0.31,1.96,1.48,5.06,12.75,2.26
sigmaBel1,3.37,0.21,2.87,3.7,0.08,0.06,6.47,11.69,1.64
sigmaBel2,3.37,0.21,2.87,3.7,0.08,0.06,6.47,11.69,1.64
betaConf,-3.24,0.46,-3.98,-2.19,0.18,0.14,6.13,11.4,1.72
betaRT,0.57,0.02,0.53,0.6,0.01,0.01,4.59,19.37,2.86
