,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigmaSamp,0.5,0.0,0.5,0.51,0.0,0.0,17.55,112.45,1.15
beta,15.04,5.77,2.91,22.78,1.83,1.34,11.01,27.8,1.29
sigmaBel1,4.99,0.01,4.99,5.0,0.0,0.0,4525.38,5145.14,1.0
betaConf,-0.71,0.07,-0.81,-0.57,0.03,0.02,6.02,32.46,1.75
betaRT,0.71,0.03,0.66,0.77,0.01,0.01,5.42,18.55,1.98
