,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigmaSamp,0.5,0.0,0.5,0.51,0.0,0.0,16.62,71.85,1.16
beta,-8.89,5.97,-19.27,-0.9,2.31,1.71,6.28,25.09,1.74
sigmaBel1,4.99,0.01,4.98,5.0,0.0,0.0,3861.73,4357.16,1.0
betaConf,-0.75,0.07,-0.88,-0.64,0.03,0.02,5.3,11.2,2.06
betaRT,0.68,0.03,0.64,0.73,0.01,0.01,6.44,23.6,1.66
