,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigmaSamp,0.5,0.0,0.5,0.51,0.0,0.0,19.0,93.88,1.14
beta,9.41,3.55,1.87,15.35,1.05,0.76,14.01,11.23,1.23
sigmaBel1,5.0,0.0,4.99,5.0,0.0,0.0,3158.14,4738.66,1.0
sigmaBel2,2.13,0.11,2.0,2.33,0.05,0.04,5.17,19.19,2.18
betaConf,-1.82,0.19,-2.14,-1.53,0.09,0.07,5.06,12.05,2.24
betaRT,0.54,0.02,0.52,0.57,0.01,0.01,4.93,18.94,2.35
