,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigmaSamp,0.5,0.0,0.5,0.51,0.0,0.0,18.48,85.47,1.14
beta,-127.35,10.54,-147.35,-108.77,1.67,1.19,34.93,404.46,1.08
sigmaBel1,0.72,0.03,0.65,0.77,0.01,0.01,7.1,20.83,1.55
sigmaBel2,0.72,0.03,0.65,0.77,0.01,0.01,7.1,20.83,1.55
betaConf,-73.89,8.99,-87.42,-54.33,3.55,2.69,6.1,13.49,1.73
betaRT,0.53,0.01,0.51,0.54,0.0,0.0,6.57,53.9,1.62
